istat;ref;reg;prv;name_it;name_de;name_fr;wiki
001001;A074;01;001;Agliè;;;Agliè
001002;A109;01;001;Airasca;;;Airasca
001003;A117;01;001;Ala di Stura;;;Ala di Stura
001004;A157;01;001;Albiano d'Ivrea;;;Albiano d'Ivrea
001005;A199;01;001;Alice Superiore;;;Alice Superiore
001006;A218;01;001;Almese;;;Almese
001007;A221;01;001;Alpette;;;Alpette
001008;A222;01;001;Alpignano;;;Alpignano
001009;A275;01;001;Andezeno;;;Andezeno
001010;A282;01;001;Andrate;;;Andrate
001011;A295;01;001;Angrogna;;;Angrogna
001012;A405;01;001;Arignano;;;Arignano
001013;A518;01;001;Avigliana;;;Avigliana
001014;A525;01;001;Azeglio;;;Azeglio
001015;A584;01;001;Bairo;;;Bairo
001016;A587;01;001;Balangero;;;Balangero
001017;A590;01;001;Baldissero Canavese;;;Baldissero Canavese
001018;A591;01;001;Baldissero Torinese;;;Baldissero Torinese
001019;A599;01;001;Balme;;;Balme
001020;A607;01;001;Banchette;;;Banchette
001021;A625;01;001;Barbania;;;Barbania
001022;A651;01;001;Bardonecchia;;;Bardonecchia
001023;A673;01;001;Barone Canavese;;;Barone Canavese
001024;A734;01;001;Beinasco;;;Beinasco
001025;A853;01;001;Bibiana;;;Bibiana (Italia)
001026;A910;01;001;Bobbio Pellice;;;Bobbio Pellice
001027;A941;01;001;Bollengo;;;Bollengo
001028;A990;01;001;Borgaro Torinese;;;Borgaro Torinese
001029;B003;01;001;Borgiallo;;;Borgiallo
001030;B015;01;001;Borgofranco d'Ivrea;;;Borgofranco d'Ivrea
001031;B021;01;001;Borgomasino;;;Borgomasino
001032;B024;01;001;Borgone Susa;;;Borgone Susa
001033;B075;01;001;Bosconero;;;Bosconero
001034;B121;01;001;Brandizzo;;;Brandizzo
001035;B171;01;001;Bricherasio;;;Bricherasio
001036;B205;01;001;Brosso;;;Brosso
001037;B209;01;001;Brozolo;;;Brozolo
001038;B216;01;001;Bruino;;;Bruino
001039;B225;01;001;Brusasco;;;Brusasco
001040;B232;01;001;Bruzolo;;;Bruzolo
001041;B278;01;001;Buriasco;;;Buriasco
001042;B279;01;001;Burolo;;;Burolo
001043;B284;01;001;Busano;;;Busano
001044;B297;01;001;Bussoleno;;;Bussoleno
001045;B305;01;001;Buttigliera Alta;;;Buttigliera Alta
001046;B350;01;001;Cafasse;;;Cafasse
001047;B435;01;001;Caluso;;;Caluso
001048;B462;01;001;Cambiano;;;Cambiano
001049;B512;01;001;Campiglione-Fenile;;;Campiglione-Fenile
001050;B588;01;001;Candia Canavese;;;Candia Canavese
001051;B592;01;001;Candiolo;;;Candiolo
001052;B605;01;001;Canischio;;;Canischio
001053;B628;01;001;Cantalupa;;;Cantalupa
001054;B637;01;001;Cantoira;;;Cantoira
001055;B705;01;001;Caprie;;;Caprie
001056;B733;01;001;Caravino;;;Caravino
001057;B762;01;001;Carema;;;Carema
001058;B777;01;001;Carignano;;;Carignano
001059;B791;01;001;Carmagnola;;;Carmagnola
001060;B867;01;001;Casalborgone;;;Casalborgone
001061;B953;01;001;Cascinette d'Ivrea;;;Cascinette d'Ivrea
001062;B955;01;001;Caselette;;;Caselette
001063;B960;01;001;Caselle Torinese;;;Caselle Torinese
001064;C045;01;001;Castagneto Po;;;Castagneto Po
001065;C048;01;001;Castagnole Piemonte;;;Castagnole Piemonte
001066;C133;01;001;Castellamonte;;;Castellamonte
001067;C241;01;001;Castelnuovo Nigra;;;Castelnuovo Nigra
001068;C307;01;001;Castiglione Torinese;;;Castiglione Torinese
001069;C369;01;001;Cavagnolo;;;Cavagnolo
001070;C404;01;001;Cavour;;;Cavour (Italia)
001071;C487;01;001;Cercenasco;;;Cercenasco
001072;C497;01;001;Ceres;;;Ceres (Italia)
001073;C505;01;001;Ceresole Reale;;;Ceresole Reale
001074;C564;01;001;Cesana Torinese;;;Cesana Torinese
001075;C604;01;001;Chialamberto;;;Chialamberto
001076;C610;01;001;Chianocco;;;Chianocco
001077;C624;01;001;Chiaverano;;;Chiaverano
001078;C627;01;001;Chieri;;;Chieri
001079;C629;01;001;Chiesanuova;;;Chiesanuova
001080;C639;01;001;Chiomonte;;;Chiomonte
001081;C655;01;001;Chiusa di San Michele;;;Chiusa di San Michele
001082;C665;01;001;Chivasso;;;Chivasso
001083;C679;01;001;Ciconio;;;Ciconio
001084;C711;01;001;Cintano;;;Cintano
001085;C715;01;001;Cinzano;;;Cinzano
001086;C722;01;001;Cirié;;;Cirié
001087;C793;01;001;Claviere;;;Claviere
001088;C801;01;001;Coassolo Torinese;;;Coassolo Torinese
001089;C803;01;001;Coazze;;;Coazze
001090;C860;01;001;Collegno;;;Collegno
001091;C867;01;001;Colleretto Castelnuovo;;;Colleretto Castelnuovo
001092;C868;01;001;Colleretto Giacosa;;;Colleretto Giacosa
001093;C955;01;001;Condove;;;Condove
001094;D008;01;001;Corio;;;Corio
001095;D092;01;001;Cossano Canavese;;;Cossano Canavese
001096;D197;01;001;Cuceglio;;;Cuceglio
001097;D202;01;001;Cumiana;;;Cumiana
001098;D208;01;001;Cuorgnè;;;Cuorgnè
001099;D373;01;001;Druento;;;Druento
001100;D433;01;001;Exilles;;;Exilles
001101;D520;01;001;Favria;;;Favria
001102;D524;01;001;Feletto;;;Feletto
001103;D532;01;001;Fenestrelle;;;Fenestrelle
001104;D562;01;001;Fiano;;;Fiano
001105;D608;01;001;Fiorano Canavese;;;Fiorano Canavese
001106;D646;01;001;Foglizzo;;;Foglizzo
001107;D725;01;001;Forno Canavese;;;Forno Canavese
001108;D781;01;001;Frassinetto;;;Frassinetto
001109;D805;01;001;Front;;;Front
001110;D812;01;001;Frossasco;;;Frossasco
001111;D931;01;001;Garzigliana;;;Garzigliana
001112;D933;01;001;Gassino Torinese;;;Gassino Torinese
001113;D983;01;001;Germagnano;;;Germagnano
001114;E009;01;001;Giaglione;;;Giaglione
001115;E020;01;001;Giaveno;;;Giaveno
001116;E067;01;001;Givoletto;;;Givoletto
001117;E154;01;001;Gravere;;;Gravere
001118;E199;01;001;Groscavallo;;;Groscavallo
001119;E203;01;001;Grosso;;;Grosso (Italia)
001120;E216;01;001;Grugliasco;;;Grugliasco
001121;E301;01;001;Ingria;;;Ingria (Italia)
001122;E311;01;001;Inverso Pinasca;;;Inverso Pinasca
001123;E345;01;001;Isolabella;;;Isolabella
001124;E368;01;001;Issiglio;;;Issiglio
001125;E379;01;001;Ivrea;;;Ivrea
001126;E394;01;001;La Cassa;;;La Cassa
001127;E423;01;001;La Loggia;;;La Loggia
001128;E445;01;001;Lanzo Torinese;;;Lanzo Torinese
001129;E484;01;001;Lauriano;;;Lauriano
001130;E518;01;001;Leini;;;Leini
001131;E520;01;001;Lemie;;;Lemie
001132;E551;01;001;Lessolo;;;Lessolo
001133;E566;01;001;Levone;;;Levone
001134;E635;01;001;Locana;;;Locana
001135;E660;01;001;Lombardore;;;Lombardore
001136;E661;01;001;Lombriasco;;;Lombriasco
001137;E683;01;001;Loranzè;;;Loranzè
001138;E727;01;001;Lugnacco;;;Lugnacco
001139;E758;01;001;Luserna San Giovanni;;;Luserna San Giovanni
001140;E759;01;001;Lusernetta;;;Lusernetta
001141;E763;01;001;Lusigliè;;;Lusigliè
001142;E782;01;001;Macello;;;Macello (Italia)
001143;E817;01;001;Maglione;;;Maglione
001144;E941;01;001;Marentino;;;Marentino
001145;F041;01;001;Massello;;;Massello
001146;F053;01;001;Mathi;;;Mathi
